"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2022 UV21)","2024-Oct-25 04:51 ± < 00:01","0.01533","0.01533","8.93","8.91","27.2","9.8 m -   22 m","0"
"(2024 UG21)","2024-Oct-25 12:57 ± < 00:01","0.00107","0.00107","13.61","13.42","27.2","9.8 m -   22 m","1"
"(2024 UB13)","2024-Oct-25 17:09 ± < 00:01","0.01682","0.01679","14.41","14.40","22.8","72 m -  160 m","1"
"(2024 UH9)","2024-Oct-25 21:36 ± < 00:01","0.03316","0.03294","8.99","8.98","25.9","17 m -   38 m","0"
"(2024 UM6)","2024-Oct-25 23:06 ± < 00:01","0.01574","0.01561","25.07","25.07","26.0","17 m -   38 m","0"
"(2024 TB2)","2024-Oct-26 01:17 ± < 00:01","0.00786","0.00785","2.94","2.82","24.9","28 m -   63 m","1"
"(2024 VB1)","2024-Oct-26 03:36 ± < 00:01","0.06313","0.06230","18.06","18.06","24.9","28 m -   62 m","0"
"(2024 UN2)","2024-Oct-26 05:59 ± < 00:01","0.00142","0.00142","10.48","10.30","26.2","15 m -   34 m","2"
"(2024 UA11)","2024-Oct-26 08:36 ± < 00:01","0.06331","0.06271","10.54","10.54","25.8","18 m -   41 m","0"
"(2024 VA1)","2024-Oct-26 10:24 ±    00:02","0.05680","0.05648","8.44","8.44","26.7","12 m -   28 m","0"
"(2024 UH6)","2024-Oct-26 10:39 ± < 00:01","0.01096","0.01093","14.65","14.63","26.7","12 m -   27 m","0"
"(2024 UY6)","2024-Oct-26 11:11 ± < 00:01","0.05200","0.05149","14.02","14.01","25.9","18 m -   40 m","0"
"(2024 UX9)","2024-Oct-26 11:53 ± < 00:01","0.03052","0.03048","17.54","17.54","22.9","72 m -  160 m","1"
"(2024 UZ7)","2024-Oct-26 16:42 ± < 00:01","0.06024","0.05988","7.08","7.07","26.4","14 m -   32 m","0"
"(2007 UT3)","2024-Oct-26 20:04 ± 4_12:08","0.04521","0.00996","10.38","10.37","25.9","18 m -   39 m","0"
"(2024 VD)","2024-Oct-26 23:14 ±    00:03","0.01483","0.01477","10.45","10.44","26.4","14 m -   31 m","0"
"(2024 UL13)","2024-Oct-27 00:10 ±    00:11","0.08610","0.08492","12.15","12.15","24.8","29 m -   65 m","0"
"(2024 UE2)","2024-Oct-27 06:45 ±    00:02","0.08288","0.08122","12.99","12.99","25.2","25 m -   55 m","0"
"(2024 UZ6)","2024-Oct-27 07:24 ± < 00:01","0.00012","0.00012","8.14","4.55","31.2","1.6 m -  3.5 m","0"
"(2024 US5)","2024-Oct-27 09:31 ±    00:05","0.04768","0.04683","7.95","7.95","26.8","12 m -   26 m","0"
"(2016 BF1)","2024-Oct-27 10:12 ± < 00:01","0.02651","0.02651","9.23","9.22","25.7","19 m -   43 m","0"
"(2024 UZ17)","2024-Oct-27 10:39 ±    00:09","0.00871","0.00861","16.80","16.78","28.0","6.7 m -   15 m","0"
"(2018 HA1)","2024-Oct-27 14:10 ± < 00:01","0.05736","0.05736","24.18","24.18","22.1","100 m -  230 m","0"
"(2024 UD8)","2024-Oct-27 14:22 ± < 00:01","0.00171","0.00170","17.97","17.88","28.8","4.7 m -   10 m","0"
"(2024 UQ4)","2024-Oct-27 17:59 ±    00:03","0.07158","0.07055","19.76","19.76","25.5","21 m -   47 m","0"
"(2024 UJ9)","2024-Oct-27 20:58 ± < 00:01","0.00643","0.00641","8.12","8.07","26.9","11 m -   24 m","0"
"(2024 UR9)","2024-Oct-27 22:22 ± < 00:01","0.00305","0.00304","12.36","12.29","29.5","3.3 m -  7.3 m","0"
"(2024 UF4)","2024-Oct-28 01:27 ± < 00:01","0.01249","0.01241","13.52","13.51","27.5","8.4 m -   19 m","0"
"(2024 TQ2)","2024-Oct-28 03:29 ± < 00:01","0.07860","0.07850","5.11","5.10","25.2","25 m -   55 m","0"
"(2024 SE26)","2024-Oct-28 05:20 ± < 00:01","0.02501","0.02501","12.65","12.64","22.8","74 m -  170 m","1"
"(2024 UV7)","2024-Oct-28 05:36 ± < 00:01","0.00146","0.00146","11.32","11.16","29.4","3.6 m -  7.9 m","0"
"(2024 UG6)","2024-Oct-28 06:07 ± < 00:01","0.01831","0.01825","8.40","8.38","26.4","14 m -   30 m","0"
"(2024 UQ1)","2024-Oct-28 06:10 ± < 00:01","0.00159","0.00159","6.61","6.35","27.8","7.5 m -   17 m","0"
"(2020 WG)","2024-Oct-28 06:34 ± < 00:01","0.02223","0.02223","9.43","9.42","21.6","120 m -  280 m","1"
"(2024 UX)","2024-Oct-28 06:46 ± < 00:01","0.01876","0.01872","4.68","4.65","27.9","7.1 m -   16 m","0"
"(2024 UT2)","2024-Oct-28 07:40 ± < 00:01","0.01622","0.01614","8.93","8.92","26.9","11 m -   24 m","0"
"(2024 UO4)","2024-Oct-28 07:57 ± < 00:01","0.00046","0.00046","8.36","7.64","30.2","2.4 m -  5.4 m","0"
"(2024 UO2)","2024-Oct-28 12:55 ±    00:01","0.02268","0.02257","5.02","4.99","27.6","7.9 m -   18 m","0"
"(2025 HT4)","2024-Oct-28 13:14 ±    01:35","0.05082","0.05075","6.71","6.70","24.8","29 m -   65 m","0"
"(2024 UF6)","2024-Oct-28 14:06 ± < 00:01","0.01003","0.01002","4.95","4.90","27.0","10 m -   23 m","0"
"(2021 VH1)","2024-Oct-28 16:09 ±    09:57","0.09561","0.09044","12.09","12.08","26.4","14 m -   31 m","0"
"(2024 UW7)","2024-Oct-28 18:43 ± < 00:01","0.00085","0.00085","15.79","15.59","30.3","2.3 m -  5.1 m","0"
"(2024 UO5)","2024-Oct-28 19:34 ± < 00:01","0.00354","0.00354","10.21","10.14","29.4","3.5 m -  7.9 m","0"
"(2024 UC11)","2024-Oct-28 19:35 ± < 00:01","0.04071","0.04032","8.02","8.01","27.0","10 m -   23 m","0"
"(2024 UA5)","2024-Oct-28 22:19 ±    02:25","0.05798","0.05660","4.56","4.55","27.2","9.8 m -   22 m","0"
"(2024 UT4)","2024-Oct-28 22:36 ±    00:10","0.02168","0.02149","8.31","8.30","27.6","8.0 m -   18 m","0"
"(2017 HJ49)","2024-Oct-28 23:12 ± < 00:01","0.09308","0.09308","14.64","14.63","23.1","65 m -  140 m","0"
"(2024 UP6)","2024-Oct-29 00:22 ±    00:01","0.04046","0.04017","8.69","8.68","27.1","10 m -   23 m","0"
"(2024 UL8)","2024-Oct-29 01:34 ±    00:01","0.03422","0.03401","14.39","14.38","26.6","13 m -   28 m","0"
"(2024 UP27)","2024-Oct-29 02:42 ± < 00:01","0.01709","0.01693","13.01","13.00","25.2","24 m -   54 m","0"
"(2024 UC21)","2024-Oct-29 03:27 ± < 00:01","0.00381","0.00377","26.14","26.12","28.6","4.9 m -   11 m","0"
"(2024 SU13)","2024-Oct-29 03:58 ± < 00:01","0.02796","0.02794","6.00","5.98","25.0","26 m -   59 m","0"
"(2024 VB)","2024-Oct-29 07:05 ±    00:01","0.00733","0.00732","4.67","4.59","28.7","4.7 m -   11 m","0"
"(2024 UX10)","2024-Oct-29 09:31 ±    00:02","0.02622","0.02610","15.29","15.29","26.5","13 m -   30 m","0"
"(2024 TY11)","2024-Oct-29 13:32 ± < 00:01","0.06809","0.06803","9.15","9.15","23.8","46 m -  100 m","0"
"(2024 TX4)","2024-Oct-29 16:05 ± < 00:01","0.06565","0.06550","12.40","12.40","23.6","51 m -  110 m","0"
"(2024 UF9)","2024-Oct-29 16:22 ± < 00:01","0.00383","0.00383","17.98","17.94","26.2","16 m -   35 m","1"
"(2024 UY17)","2024-Oct-29 17:01 ± < 00:01","0.00296","0.00296","8.62","8.52","30.4","2.2 m -  5.0 m","0"
"(2024 UG3)","2024-Oct-29 17:48 ±    00:02","0.06419","0.06366","6.52","6.52","26.3","15 m -   33 m","0"
"(2007 VY137)","2024-Oct-29 18:21 ± < 00:01","0.05133","0.05133","13.06","13.05","24.4","35 m -   77 m","0"
"(2024 UE6)","2024-Oct-30 00:02 ± < 00:01","0.01704","0.01696","15.00","14.99","27.1","10 m -   22 m","0"
"(2024 UW3)","2024-Oct-30 00:27 ±    00:09","0.08870","0.08752","5.04","5.03","25.8","18 m -   41 m","0"
"(2024 VC1)","2024-Oct-30 05:29 ± < 00:01","0.06008","0.06002","23.51","23.51","22.8","73 m -  160 m","0"
"(2024 UB11)","2024-Oct-30 08:29 ± < 00:01","0.00041","0.00041","14.82","14.37","30.0","2.7 m -  6.0 m","0"
"(2019 VO3)","2024-Oct-30 11:12 ± 1_09:29","0.07802","0.06211","15.24","15.24","25.9","18 m -   39 m","0"
"(2024 UG9)","2024-Oct-30 12:42 ± < 00:01","0.00006","0.00006","20.30","17.95","32.6","0.80 m -  1.8 m","0"
"(2024 UQ2)","2024-Oct-30 13:28 ± < 00:01","0.01114","0.01106","14.85","14.83","26.3","15 m -   33 m","0"
"(2024 UE3)","2024-Oct-30 14:17 ± < 00:01","0.00795","0.00791","13.84","13.82","26.7","12 m -   27 m","0"
"(2024 UL9)","2024-Oct-30 16:47 ± < 00:01","0.02922","0.02909","7.26","7.25","26.8","12 m -   27 m","0"
"(2024 VG2)","2024-Oct-30 18:55 ±    00:04","0.00473","0.00472","21.41","21.39","28.3","5.8 m -   13 m","0"
"(2021 CV1)","2024-Oct-30 19:46 ± 3_08:55","0.03690","0.00540","23.60","23.60","24.9","28 m -   63 m","0"
"(2024 UK6)","2024-Oct-30 20:49 ± < 00:01","0.05043","0.04974","10.51","10.51","25.5","21 m -   48 m","0"
"(2021 UN7)","2024-Oct-30 21:37 ± < 00:01","0.09913","0.09913","15.16","15.16","23.4","57 m -  130 m","0"
"(2024 VU)","2024-Oct-31 02:01 ±    00:02","0.05291","0.05269","8.39","8.38","25.9","17 m -   39 m","0"
"(2024 UU1)","2024-Oct-31 02:14 ± < 00:01","0.00336","0.00336","18.03","17.99","25.9","17 m -   39 m","1"
"(2024 UU2)","2024-Oct-31 03:05 ±    00:01","0.05163","0.05065","11.23","11.23","26.2","15 m -   34 m","0"
"(2024 VT)","2024-Oct-31 05:59 ± < 00:01","0.05684","0.05659","12.34","12.34","25.9","17 m -   39 m","0"
"(2024 VN)","2024-Oct-31 07:30 ±    00:05","0.09574","0.09493","8.95","8.95","25.1","25 m -   56 m","0"
"(2024 VP)","2024-Oct-31 14:09 ± < 00:01","0.05277","0.05245","10.31","10.31","25.0","26 m -   58 m","0"
"(2023 KX3)","2024-Oct-31 15:28 ±    00:38","0.04817","0.04812","2.44","2.41","25.8","19 m -   42 m","0"
"(2024 XU5)","2024-Oct-31 16:12 ± < 00:01","0.05491","0.05488","3.69","3.68","25.4","22 m -   50 m","0"
"(2020 UX)","2024-Oct-31 16:23 ± 8_17:16","0.07768","0.04742","6.24","6.23","31.1","1.6 m -  3.5 m","0"
"(2022 UD21)","2024-Oct-31 17:32 ± < 00:01","0.03029","0.03029","11.78","11.77","25.6","20 m -   46 m","0"
"(2024 UW6)","2024-Oct-31 17:33 ±    00:01","0.03659","0.03538","8.06","8.05","27.0","11 m -   24 m","0"
"(2024 VR)","2024-Oct-31 18:20 ± < 00:01","0.03652","0.03635","12.78","12.77","24.8","29 m -   66 m","0"
"(2024 UP4)","2024-Oct-31 21:14 ± < 00:01","0.00810","0.00807","10.91","10.88","27.4","8.8 m -   20 m","0"
"(2024 TV20)","2024-Oct-31 21:36 ± < 00:01","0.09732","0.09705","14.65","14.64","23.5","53 m -  120 m","0"
"(2024 VX)","2024-Oct-31 22:49 ±    00:10","0.08450","0.08387","16.05","16.05","25.4","22 m -   49 m","0"
"(2024 VJ)","2024-Oct-31 23:36 ± < 00:01","0.00783","0.00782","7.09","7.04","27.3","9.3 m -   21 m","0"
"(2024 UU7)","2024-Nov-01 01:35 ± < 00:01","0.01191","0.01185","10.15","10.13","27.1","10 m -   22 m","0"
"(2024 UT5)","2024-Nov-01 04:05 ± < 00:01","0.00833","0.00829","14.38","14.35","28.4","5.6 m -   12 m","0"
"(2024 VF)","2024-Nov-01 04:08 ± < 00:01","0.02668","0.02665","4.50","4.48","27.4","8.9 m -   20 m","0"
"(2024 UD11)","2024-Nov-01 10:52 ± < 00:01","0.00143","0.00143","14.43","14.30","29.4","3.6 m -  8.0 m","0"
"(2024 VW)","2024-Nov-01 12:52 ± < 00:01","0.06983","0.06954","14.96","14.95","24.9","28 m -   63 m","0"
"(2024 UL6)","2024-Nov-01 15:53 ± < 00:01","0.03616","0.03601","5.30","5.28","26.0","17 m -   37 m","0"
"(2024 UZ5)","2024-Nov-01 18:16 ± < 00:01","0.05685","0.05618","14.84","14.83","24.5","33 m -   73 m","0"
"(2016 VA)","2024-Nov-01 22:52 ±    14:48","0.00378","0.00076","21.17","21.13","27.6","8.0 m -   18 m","0"
"(2024 VD1)","2024-Nov-01 23:18 ± < 00:01","0.00315","0.00314","14.87","14.81","25.6","20 m -   46 m","1"
"(2024 UP5)","2024-Nov-02 06:33 ± < 00:01","0.02949","0.02944","6.56","6.55","25.6","20 m -   46 m","0"
"503941 (2003 UV11)","2024-Nov-02 07:44 ± < 00:01","0.09601","0.09601","22.82","22.82","19.6","0.260±0.003 km","1"
"(2024 VL1)","2024-Nov-02 18:04 ±    00:06","0.00475","0.00470","27.11","27.09","26.2","15 m -   34 m","0"
"(2024 VE2)","2024-Nov-02 18:43 ±    00:01","0.03245","0.03213","21.78","21.78","24.2","39 m -   87 m","0"
"(2024 VA)","2024-Nov-03 04:15 ± < 00:01","0.00306","0.00306","12.76","12.69","27.8","7.4 m -   17 m","0"
"(2024 UK1)","2024-Nov-03 06:59 ±    00:01","0.07977","0.07906","7.13","7.13","26.0","17 m -   38 m","0"
"(2024 UV6)","2024-Nov-03 08:19 ± < 00:01","0.04452","0.04410","7.38","7.38","27.0","10 m -   23 m","0"
"(2009 BE58)","2024-Nov-03 09:24 ± < 00:01","0.07102","0.07102","19.64","19.63","21.7","120 m -  270 m","0"
"(2024 VV4)","2024-Nov-03 11:09 ± < 00:01","0.04033","0.04025","5.73","5.72","24.8","30 m -   67 m","0"
"(2024 VQ1)","2024-Nov-03 16:34 ± < 00:01","0.01490","0.01475","27.02","27.01","26.0","17 m -   38 m","0"
"(2024 UX3)","2024-Nov-03 17:18 ± < 00:01","0.05937","0.05912","10.79","10.78","24.8","29 m -   64 m","0"
"(2024 TX13)","2024-Nov-03 19:08 ± < 00:01","0.00478","0.00478","7.64","7.57","24.6","33 m -   73 m","1"
"(2020 VX1)","2024-Nov-03 19:14 ± < 00:01","0.04974","0.04974","7.85","7.84","23.0","67 m -  150 m","0"
"(2024 UU11)","2024-Nov-03 20:00 ± < 00:01","0.00279","0.00278","18.00","17.94","28.1","6.5 m -   15 m","0"
"(2024 UE11)","2024-Nov-03 20:10 ± < 00:01","0.00595","0.00593","8.27","8.22","28.5","5.2 m -   12 m","0"
"(2024 US10)","2024-Nov-04 08:43 ± < 00:01","0.08043","0.07944","22.57","22.57","24.2","39 m -   87 m","0"
"(2024 VP1)","2024-Nov-04 10:17 ± < 00:01","0.00858","0.00856","8.95","8.91","28.4","5.5 m -   12 m","0"
"(2024 XF11)","2024-Nov-04 13:16 ±    00:02","0.06316","0.06296","4.13","4.12","25.0","26 m -   59 m","0"
"(2009 WB)","2024-Nov-04 14:48 ± < 00:01","0.08672","0.08672","8.31","8.31","24.3","36 m -   81 m","0"
"(2023 VS)","2024-Nov-04 14:51 ±    00:36","0.03882","0.03803","4.32","4.31","29.8","2.9 m -  6.4 m","0"
"(2024 UF2)","2024-Nov-04 15:02 ± < 00:01","0.04989","0.04949","12.76","12.76","24.4","35 m -   79 m","0"
"(2024 VO1)","2024-Nov-04 16:51 ±    00:01","0.01726","0.01721","8.31","8.29","27.2","9.8 m -   22 m","0"
"(2024 VO)","2024-Nov-04 21:18 ± < 00:01","0.00192","0.00192","3.08","2.59","31.1","1.6 m -  3.6 m","0"
"(2024 VD4)","2024-Nov-05 00:39 ± < 00:01","0.02058","0.02043","8.27","8.25","25.3","23 m -   51 m","0"
"(2024 UX6)","2024-Nov-05 01:36 ± < 00:01","0.04405","0.04346","14.70","14.69","24.8","29 m -   65 m","0"
"(2024 UT7)","2024-Nov-05 02:33 ± < 00:01","0.00687","0.00686","8.32","8.27","23.7","49 m -  110 m","2"
"(2024 TD22)","2024-Nov-05 06:00 ± < 00:01","0.02056","0.02054","11.88","11.87","24.1","40 m -   89 m","0"
"(2024 UM8)","2024-Nov-05 06:17 ±    00:02","0.08641","0.08615","5.09","5.09","25.7","19 m -   43 m","0"
"(2024 UO11)","2024-Nov-05 09:28 ± < 00:01","0.03039","0.03018","6.46","6.45","27.6","8.1 m -   18 m","0"
"(2024 UH5)","2024-Nov-05 11:56 ± < 00:01","0.00416","0.00415","6.87","6.78","26.8","12 m -   26 m","0"
"(2016 WU1)","2024-Nov-05 12:38 ± < 00:01","0.09422","0.09422","17.60","17.60","23.9","45 m -  100 m","0"
"(2024 VG3)","2024-Nov-05 13:11 ±    00:16","0.06349","0.06303","9.20","9.20","24.9","27 m -   61 m","0"
"(2024 VS1)","2024-Nov-05 17:55 ± < 00:01","0.03708","0.03690","17.66","17.65","25.8","18 m -   41 m","0"
"66146 (1998 TU3)","2024-Nov-05 19:47 ± < 00:01","0.08884","0.08884","11.53","11.53","14.4","2.864±1.165 km","3"
"(2024 UD6)","2024-Nov-06 02:01 ± < 00:01","0.02100","0.02088","5.74","5.72","27.4","9.0 m -   20 m","0"
"(2024 VC2)","2024-Nov-06 05:45 ± < 00:01","0.01406","0.01403","8.07","8.05","25.7","19 m -   43 m","0"
"(2024 VA2)","2024-Nov-06 07:09 ± < 00:01","0.00826","0.00822","16.63","16.61","26.6","12 m -   28 m","0"
"(2024 VO4)","2024-Nov-06 10:51 ±    00:05","0.04545","0.04489","9.16","9.16","25.4","22 m -   49 m","0"
"(2024 UW)","2024-Nov-06 12:17 ± < 00:01","0.00438","0.00438","4.67","4.53","27.7","7.7 m -   17 m","0"
"(2024 VK2)","2024-Nov-06 15:41 ± < 00:01","0.01469","0.01467","8.42","8.39","26.4","14 m -   31 m","0"
"(2019 LB1)","2024-Nov-06 17:51 ±    04:21","0.09911","0.09737","6.38","6.38","27.0","11 m -   24 m","0"
"(2024 UT11)","2024-Nov-06 19:32 ± < 00:01","0.01199","0.01195","12.08","12.06","25.9","17 m -   39 m","0"
"(2022 JM)","2024-Nov-06 20:21 ±    01:09","0.05053","0.04875","6.16","6.15","28.8","4.6 m -   10 m","0"
"(2024 VM1)","2024-Nov-06 23:47 ± < 00:01","0.00207","0.00207","8.63","8.48","27.4","9.0 m -   20 m","0"
"(2024 VC)","2024-Nov-07 01:41 ± < 00:01","0.00459","0.00459","4.84","4.72","27.4","8.8 m -   20 m","0"
"(2024 VB2)","2024-Nov-07 03:30 ± < 00:01","0.00416","0.00415","18.10","18.06","25.9","18 m -   40 m","1"
"(2024 VN4)","2024-Nov-07 15:59 ± < 00:01","0.02507","0.02486","8.31","8.30","26.2","15 m -   34 m","0"
"(2024 VF2)","2024-Nov-07 16:13 ± < 00:01","0.00872","0.00871","8.93","8.89","27.1","10 m -   23 m","0"
"(2024 VX1)","2024-Nov-07 20:16 ± < 00:01","0.01778","0.01775","11.92","11.91","27.3","9.3 m -   21 m","0"
"(2024 UB7)","2024-Nov-07 21:06 ± < 00:01","0.06191","0.06191","16.20","16.19","22.7","77 m -  170 m","0"
"(2024 WA2)","2024-Nov-07 23:18 ±    00:08","0.03711","0.03665","5.82","5.81","26.5","13 m -   30 m","0"
"(2024 VZ)","2024-Nov-08 01:19 ± < 00:01","0.09225","0.09225","17.69","17.69","20.5","210 m -  480 m","0"
"(2024 VR2)","2024-Nov-08 02:05 ± < 00:01","0.02467","0.02462","7.99","7.97","25.5","21 m -   48 m","0"
"(2024 VY)","2024-Nov-08 02:54 ± < 00:01","0.00563","0.00562","18.56","18.53","26.3","15 m -   33 m","0"
"(2024 VS)","2024-Nov-08 03:33 ± < 00:01","0.00865","0.00864","11.84","11.81","27.5","8.3 m -   18 m","0"
"(2024 UK13)","2024-Nov-08 03:37 ±    00:04","0.02658","0.02625","9.96","9.95","26.7","12 m -   28 m","0"
"(2024 UM4)","2024-Nov-08 04:13 ± < 00:01","0.07460","0.07438","22.67","22.67","22.5","83 m -  190 m","0"
"(2024 UY4)","2024-Nov-08 08:29 ±    01:36","0.08177","0.07744","6.58","6.57","26.5","13 m -   30 m","0"
"(2024 VB4)","2024-Nov-08 09:52 ±    00:22","0.08299","0.08176","11.17","11.16","24.5","33 m -   74 m","0"
"(2024 UN13)","2024-Nov-08 10:35 ±    00:05","0.07477","0.07347","8.52","8.52","25.7","19 m -   43 m","0"
"(2024 UD3)","2024-Nov-08 12:57 ±    00:01","0.08228","0.08095","12.04","12.04","23.6","50 m -  110 m","0"
"(2015 TN145)","2024-Nov-08 17:35 ± < 00:01","0.05535","0.05535","6.28","6.27","24.6","32 m -   71 m","0"
"(2021 VU12)","2024-Nov-08 19:54 ± < 00:01","0.09401","0.09401","9.28","9.27","24.3","37 m -   83 m","0"
"(2024 UK9)","2024-Nov-08 20:45 ± < 00:01","0.01089","0.01088","4.45","4.39","27.2","9.7 m -   22 m","0"
"(2024 VJ2)","2024-Nov-08 22:00 ± < 00:01","0.01149","0.01146","12.59","12.57","26.7","12 m -   27 m","0"
"(2024 VJ3)","2024-Nov-08 22:54 ± < 00:01","0.00664","0.00663","9.23","9.18","26.9","11 m -   24 m","0"
"(2024 UM2)","2024-Nov-08 23:37 ±    00:05","0.09496","0.09366","8.41","8.41","24.9","27 m -   61 m","0"
"(2024 VQ2)","2024-Nov-09 00:07 ± < 00:01","0.05658","0.05650","10.11","10.10","24.2","39 m -   86 m","0"
"(2024 UU9)","2024-Nov-09 01:07 ± < 00:01","0.03710","0.03679","8.78","8.78","26.7","12 m -   27 m","0"
"(2024 VE)","2024-Nov-09 01:54 ± < 00:01","0.01414","0.01411","10.38","10.36","25.9","17 m -   39 m","0"
"785648 (2015 RG36)","2024-Nov-09 04:57 ± < 00:01","0.09963","0.09963","5.42","5.41","20.3","230 m -  520 m","0"
"(2024 UU4)","2024-Nov-09 06:56 ±    00:03","0.04977","0.04920","5.71","5.70","26.8","11 m -   25 m","0"
"(2024 WR2)","2024-Nov-09 13:24 ±    00:05","0.09254","0.09109","10.36","10.36","25.1","25 m -   56 m","0"
"(2024 VB3)","2024-Nov-09 16:18 ± < 00:01","0.02368","0.02364","7.21","7.19","25.9","18 m -   40 m","0"
"(2024 VL2)","2024-Nov-09 17:04 ± < 00:01","0.02075","0.02071","6.81","6.80","25.7","20 m -   44 m","0"
"(2024 WL24)","2024-Nov-10 00:02 ±    00:01","0.08427","0.08363","7.98","7.97","24.7","31 m -   69 m","0"
"(2024 UZ)","2024-Nov-10 04:35 ± < 00:01","0.04188","0.04184","4.84","4.83","26.1","16 m -   35 m","0"
"(2024 VS4)","2024-Nov-10 08:50 ±    00:01","0.00795","0.00790","11.89","11.86","26.3","15 m -   33 m","0"
"(2024 VY3)","2024-Nov-10 20:13 ± < 00:01","0.00508","0.00507","10.96","10.92","27.8","7.4 m -   16 m","0"
"(2024 UC3)","2024-Nov-10 23:27 ± < 00:01","0.02827","0.02812","6.65","6.63","25.5","21 m -   47 m","0"
"(2024 UK8)","2024-Nov-11 01:51 ±    00:54","0.05048","0.04864","18.69","18.69","26.1","16 m -   35 m","0"
"(2024 VC3)","2024-Nov-11 04:38 ± < 00:01","0.04059","0.04043","12.91","12.90","24.5","33 m -   74 m","0"
"(2024 VR4)","2024-Nov-11 08:53 ±    00:02","0.00020","0.00019","5.71","2.32","29.8","3.0 m -  6.7 m","1"
"(2024 VA4)","2024-Nov-11 10:39 ± < 00:01","0.00722","0.00721","10.01","9.97","25.2","25 m -   55 m","1"
"(2024 VP4)","2024-Nov-11 12:56 ± < 00:01","0.00196","0.00195","3.73","3.35","28.7","4.9 m -   11 m","0"
"(2024 WV4)","2024-Nov-11 13:35 ±    00:51","0.01529","0.01504","15.52","15.51","25.6","20 m -   44 m","0"
"(2024 VM3)","2024-Nov-11 16:45 ± < 00:01","0.05257","0.05227","11.48","11.48","24.4","34 m -   77 m","0"
"(2024 WP)","2024-Nov-11 17:59 ±    00:06","0.05678","0.05622","6.26","6.25","26.0","16 m -   37 m","0"
"(2024 YN8)","2024-Nov-11 20:11 ±    00:11","0.08776","0.08769","8.44","8.44","23.1","63 m -  140 m","0"
"(2019 WB7)","2024-Nov-11 22:34 ± < 00:01","0.04485","0.04485","5.70","5.69","24.8","30 m -   67 m","0"
"(2024 UE4)","2024-Nov-11 22:37 ± < 00:01","0.00864","0.00864","12.52","12.49","25.5","21 m -   48 m","0"
"(2024 VH1)","2024-Nov-12 08:11 ± < 00:01","0.00341","0.00341","10.02","9.94","26.6","13 m -   29 m","0"
"(2020 UL3)","2024-Nov-12 12:27 ± < 00:01","0.01047","0.01047","10.46","10.44","23.2","60 m -  130 m","1"
"(2011 VU5)","2024-Nov-12 15:11 ± < 00:01","0.09537","0.09537","18.67","18.67","20.1","260 m -  570 m","0"
"(2024 VN2)","2024-Nov-12 20:19 ± < 00:01","0.06722","0.06649","18.52","18.51","25.1","25 m -   56 m","0"
"(2024 XL4)","2024-Nov-13 01:03 ±    06:36","0.08089","0.07873","3.89","3.88","26.8","12 m -   26 m","0"
"(2020 AB2)","2024-Nov-13 03:55 ± 4_23:53","0.04828","0.03832","7.20","7.19","27.0","11 m -   24 m","0"
"(2019 UD)","2024-Nov-13 03:56 ±    04:21","0.05518","0.04989","5.24","5.23","26.9","11 m -   24 m","0"
"(2024 TY6)","2024-Nov-13 10:39 ± < 00:01","0.06101","0.06098","7.84","7.84","24.5","33 m -   75 m","0"
